,Unnamed: 0,Success,Month,Day,Year,Country,DefCity,DefCountry,Latitude,Longitude,StationIDs,MinTemp,MaxTemp,MeanTemp,MinAirTemp,SunDuration,MeanCloudCover,MeanCloudVapor,MeanRelHumid,PrecipHeight,PrecipForm,MeanPressure,SnowDepth
39,39,1,3,31,1941,United Kingdom,Emden,Germany,53.3594,7.20601,"[44, 78, 102, 186, 193, 243, 326, 327, 342, 553, 554, 555, 617, 619, 642, 643, 645, 691, 699, 701, 702, 703, 704, 705, 717, 769, 865, 891, 954, 963, 1032, 1053, 1084, 1087, 1200, 1204, 1219, 1221, 1228, 1246, 1299, 1303, 1503, 1590, 1766, 1891, 1892, 1920, 2078, 2115, 2122, 2147, 2173, 2338, 2374, 2422, 2456, 2494, 2629, 2861, 2872, 2906, 2907, 3023, 3028, 3031, 3032, 3044, 3045, 3101, 3222, 3227, 3236, 3254, 3404, 3631, 3639, 3640, 3753, 3790, 3791, 3815, 3867, 4029, 4063, 4100, 4174, 4288, 4371, 4391, 4393, 4401, 4442, 4629, 4841, 5014, 5236, 5344, 5347, 5480, 5514, 5575, 5640, 5732, 5821, 5822, 5839, 6157, 6159, 6184, 6264, 6337, 7106, 7298, 7330, 7373, 7374, 13670, 13696, 13903, 13904, 16085]",25.62,40.25,33.0,22.4109090909,8.66363636364,3.15555555556,4.62941176471,74.4705882353,0.0,0.0,1007.55714286,0.166666666667
43,43,1,8,8,1941,Soviet Union,Berlin,Germany,52.52001,13.40495,"[116, 129, 131, 164, 167, 169, 184, 207, 222, 288, 298, 303, 314, 395, 399, 400, 402, 403, 405, 407, 408, 410, 416, 417, 420, 422, 424, 425, 427, 429, 430, 432, 433, 434, 435, 445, 524, 550, 650, 833, 853, 876, 879, 880, 888, 948, 965, 991, 1000, 1001, 1003, 1047, 1048, 1050, 1051, 1052, 1074, 1106, 1182, 1345, 1426, 1441, 1552, 1583, 1605, 1612, 1684, 1694, 1709, 1757, 1758, 1759, 1761, 1762, 1803, 1869, 1890, 1957, 1960, 2166, 2225, 2252, 2289, 2302, 2315, 2354, 2436, 2444, 2451, 2475, 2506, 2578, 2621, 2627, 2641, 2701, 2704, 2794, 2796, 2856, 2878, 2928, 2931, 2932, 2951, 2963, 2985, 3015, 3082, 3083, 3126, 3158, 3160, 3166, 3196, 3226, 3234, 3289, 3376, 3426, 3478, 3509, 3552, 3577, 3788, 3811, 3818, 3821, 3883, 3915, 3987, 3988, 4024, 4036, 4079, 4149, 4222, 4271, 4464, 4606, 4612, 4642, 4782, 4977, 4997, 5009, 5024, 5068, 5097, 5109, 5142, 5282, 5349, 5431, 5442, 5463, 5546, 5624, 5629, 5642, 5643, 5663, 5728, 5745, 5750, 5761, 5778, 5779, 5797, 5825, 6086, 6095, 6109, 6110, 6112, 6129, 6170, 6199, 6265, 6273, 6310, 6314, 7244, 7329, 7343, 7351, 7364, 7389, 7393, 7419, 7420, 13711, 14138]",47.84,65.3105882353,55.5482352941,45.4742857143,7.15,6.05625,11.1733333333,75.25,1.13529411765,1.0,992.257142857,0.0
46,46,1,9,7,1941,United Kingdom,Berlin ,Germany,52.52001,13.40495,"[116, 129, 131, 164, 167, 169, 184, 207, 222, 288, 298, 303, 314, 395, 399, 400, 402, 403, 405, 407, 408, 410, 416, 417, 420, 422, 424, 425, 427, 429, 430, 432, 433, 434, 435, 445, 524, 550, 650, 833, 853, 876, 879, 880, 888, 948, 965, 991, 1000, 1001, 1003, 1047, 1048, 1050, 1051, 1052, 1074, 1106, 1182, 1345, 1426, 1441, 1552, 1583, 1605, 1612, 1684, 1694, 1709, 1757, 1758, 1759, 1761, 1762, 1803, 1869, 1890, 1957, 1960, 2166, 2225, 2252, 2289, 2302, 2315, 2354, 2436, 2444, 2451, 2475, 2506, 2578, 2621, 2627, 2641, 2701, 2704, 2794, 2796, 2856, 2878, 2928, 2931, 2932, 2951, 2963, 2985, 3015, 3082, 3083, 3126, 3158, 3160, 3166, 3196, 3226, 3234, 3289, 3376, 3426, 3478, 3509, 3552, 3577, 3788, 3811, 3818, 3821, 3883, 3915, 3987, 3988, 4024, 4036, 4079, 4149, 4222, 4271, 4464, 4606, 4612, 4642, 4782, 4977, 4997, 5009, 5024, 5068, 5097, 5109, 5142, 5282, 5349, 5431, 5442, 5463, 5546, 5624, 5629, 5642, 5643, 5663, 5728, 5745, 5750, 5761, 5778, 5779, 5797, 5825, 6086, 6095, 6109, 6110, 6112, 6129, 6170, 6199, 6265, 6273, 6310, 6314, 7244, 7329, 7343, 7351, 7364, 7389, 7393, 7419, 7420, 13711, 14138]",50.0847058824,63.9658823529,54.6905882353,47.5057142857,5.30714285714,5.675,11.1333333333,75.5,0.252941176471,1.0,998.264285714,0.0
47,47,0,11,7,1941,United Kingdom,Berlin ,Germany,52.52001,13.40495,"[116, 129, 131, 164, 167, 169, 184, 207, 222, 288, 298, 303, 314, 395, 399, 400, 402, 403, 405, 407, 408, 410, 416, 417, 420, 422, 424, 425, 427, 429, 430, 432, 433, 434, 435, 445, 524, 550, 650, 833, 853, 876, 879, 880, 888, 948, 965, 991, 1000, 1001, 1003, 1047, 1048, 1050, 1051, 1052, 1074, 1106, 1182, 1345, 1426, 1441, 1552, 1583, 1605, 1612, 1684, 1694, 1709, 1757, 1758, 1759, 1761, 1762, 1803, 1869, 1890, 1957, 1960, 2166, 2225, 2252, 2289, 2302, 2315, 2354, 2436, 2444, 2451, 2475, 2506, 2578, 2621, 2627, 2641, 2701, 2704, 2794, 2796, 2856, 2878, 2928, 2931, 2932, 2951, 2963, 2985, 3015, 3082, 3083, 3126, 3158, 3160, 3166, 3196, 3226, 3234, 3289, 3376, 3426, 3478, 3509, 3552, 3577, 3788, 3811, 3818, 3821, 3883, 3915, 3987, 3988, 4024, 4036, 4079, 4149, 4222, 4271, 4464, 4606, 4612, 4642, 4782, 4977, 4997, 5009, 5024, 5068, 5097, 5109, 5142, 5282, 5349, 5431, 5442, 5463, 5546, 5624, 5629, 5642, 5643, 5663, 5728, 5745, 5750, 5761, 5778, 5779, 5797, 5825, 6086, 6095, 6109, 6110, 6112, 6129, 6170, 6199, 6265, 6273, 6310, 6314, 7244, 7329, 7343, 7351, 7364, 7389, 7393, 7419, 7420, 13711, 14138]",36.78,43.71,40.03,36.4228571429,2.63846153846,6.02352941176,6.975,81.7647058824,2.86666666667,1.0,983.893333333,0.588235294118
48,48,1,12,7,1941,United Kingdom,Aachen,Germany,50.77535,6.083887,"[3, 78, 161, 174, 186, 326, 348, 377, 450, 458, 460, 535, 553, 554, 555, 598, 599, 601, 603, 617, 645, 736, 743, 766, 793, 927, 953, 964, 1032, 1078, 1079, 1084, 1087, 1201, 1229, 1238, 1246, 1303, 1327, 1428, 1572, 1580, 1590, 1766, 1920, 1964, 2092, 2110, 2167, 2173, 2211, 2318, 2331, 2338, 2362, 2385, 2422, 2474, 2486, 2494, 2497, 2629, 2657, 2665, 2667, 2790, 2947, 2968, 3004, 3023, 3044, 3045, 3062, 3096, 3098, 3101, 3155, 3167, 3212, 3228, 3246, 3254, 3274, 3320, 3340, 3404, 3490, 3540, 3541, 3545, 3591, 3595, 3623, 3640, 3658, 3659, 3660, 3753, 3815, 3825, 3903, 3904, 3939, 4029, 4100, 4127, 4154, 4157, 4174, 4240, 4301, 4323, 4336, 4339, 4343, 4396, 4397, 4425, 4474, 4490, 4508, 4586, 4649, 4692, 4709, 4741, 5029, 5064, 5099, 5100, 5244, 5245, 5433, 5480, 5681, 5717, 5719, 5871, 5920, 6186, 6217, 6337, 7330, 7374, 13670, 13696, 13700, 13713, 14311, 15000, 15951, 15963, 15979]",34.5768421053,40.4505263158,36.6705263158,33.7742857143,0.0,7.31052631579,6.93888888889,91.6111111111,11.4894736842,8.0,975.0,0.277777777778
51,51,1,3,8,1942,United Kingdom,Essen,Germany,51.45564,7.011555,"[3, 44, 78, 98, 150, 161, 186, 211, 326, 330, 342, 348, 355, 386, 390, 450, 458, 480, 535, 553, 554, 555, 598, 599, 601, 603, 617, 642, 643, 645, 691, 699, 717, 727, 736, 743, 766, 793, 817, 829, 865, 917, 918, 919, 920, 927, 953, 963, 964, 979, 1032, 1072, 1073, 1078, 1079, 1084, 1087, 1093, 1201, 1204, 1219, 1221, 1229, 1238, 1246, 1300, 1303, 1327, 1420, 1421, 1424, 1425, 1503, 1513, 1572, 1580, 1590, 1619, 1638, 1639, 1766, 1891, 1892, 1920, 1964, 2000, 2092, 2110, 2147, 2167, 2173, 2211, 2318, 2327, 2338, 2362, 2385, 2422, 2474, 2480, 2483, 2494, 2497, 2601, 2629, 2657, 2665, 2667, 2693, 2717, 2790, 2843, 2872, 2947, 2968, 3004, 3017, 3018, 3023, 3028, 3031, 3042, 3044, 3045, 3062, 3076, 3096, 3098, 3101, 3137, 3155, 3164, 3167, 3212, 3227, 3228, 3236, 3246, 3254, 3274, 3284, 3313, 3320, 3340, 3404, 3442, 3490, 3540, 3541, 3590, 3591, 3595, 3623, 3640, 3658, 3659, 3660, 3753, 3776, 3790, 3791, 3815, 3825, 3867, 3903, 3904, 4029, 4063, 4100, 4127, 4154, 4157, 4174, 4240, 4288, 4301, 4323, 4371, 4396, 4397, 4401, 4411, 4425, 4474, 4508, 4586, 4649, 4692, 4709, 4741, 5014, 5029, 5064, 5099, 5100, 5133, 5236, 5300, 5410, 5433, 5480, 5540, 5541, 5543, 5582, 5583, 5610, 5681, 5692, 5717, 5719, 5821, 5822, 5839, 5871, 5906, 5920, 6159, 6186, 6264, 6337, 6344, 7106, 7330, 7341, 7374, 13670, 13696, 13700, 13713, 14311, 15000, 15963, 15979]",26.9972413793,35.0848275862,30.02,26.708,0.833333333333,5.75862068966,4.83793103448,85.0344827586,0.172413793103,1.0,998.105263158,14.6428571429
52,52,1,3,13,1942,United Kingdom,Cologne,Germany,50.93753,6.960279,"[3, 44, 78, 98, 150, 161, 174, 186, 211, 326, 342, 348, 355, 377, 386, 390, 450, 458, 460, 480, 535, 553, 554, 555, 598, 599, 601, 603, 617, 645, 710, 717, 727, 736, 743, 766, 793, 817, 829, 865, 917, 918, 919, 920, 927, 953, 963, 964, 979, 1032, 1072, 1073, 1078, 1079, 1084, 1087, 1093, 1201, 1229, 1238, 1246, 1254, 1255, 1300, 1303, 1327, 1420, 1421, 1424, 1425, 1428, 1513, 1572, 1580, 1590, 1619, 1638, 1639, 1766, 1891, 1892, 1920, 1964, 2000, 2080, 2081, 2083, 2092, 2110, 2147, 2167, 2173, 2211, 2318, 2331, 2338, 2362, 2385, 2422, 2474, 2483, 2486, 2494, 2497, 2522, 2601, 2629, 2654, 2657, 2665, 2667, 2693, 2717, 2790, 2843, 2872, 2947, 2968, 3004, 3007, 3017, 3018, 3023, 3028, 3031, 3042, 3044, 3045, 3062, 3076, 3096, 3098, 3101, 3137, 3155, 3164, 3167, 3212, 3228, 3236, 3246, 3254, 3274, 3313, 3320, 3340, 3362, 3404, 3442, 3490, 3540, 3541, 3545, 3575, 3576, 3590, 3591, 3595, 3623, 3640, 3658, 3659, 3660, 3753, 3776, 3815, 3825, 3903, 3904, 3929, 3939, 4029, 4063, 4100, 4127, 4154, 4157, 4174, 4177, 4240, 4288, 4301, 4323, 4336, 4339, 4343, 4371, 4396, 4397, 4401, 4425, 4474, 4490, 4508, 4586, 4649, 4692, 4709, 4719, 4741, 5029, 5064, 5099, 5100, 5133, 5236, 5244, 5245, 5275, 5300, 5410, 5426, 5433, 5480, 5540, 5541, 5543, 5582, 5583, 5610, 5681, 5692, 5717, 5719, 5821, 5822, 5871, 5906, 5920, 6186, 6217, 6264, 6337, 6344, 7106, 7330, 7341, 7374, 13670, 13674, 13696, 13700, 13713, 14311, 15000, 15951, 15963, 15979]",21.008,37.628,30.566,19.98,9.61666666667,1.31666666667,3.37,60.6333333333,0.02,0.0,989.114285714,9.10344827586
53,53,0,3,25,1942,United Kingdom,Essen,Germany,51.45564,7.011555,"[3, 44, 78, 98, 150, 161, 186, 211, 326, 330, 342, 348, 355, 386, 390, 450, 458, 480, 535, 553, 554, 555, 598, 599, 601, 603, 617, 642, 643, 645, 691, 699, 717, 727, 736, 743, 766, 793, 817, 829, 865, 917, 918, 919, 920, 927, 953, 963, 964, 979, 1032, 1072, 1073, 1078, 1079, 1084, 1087, 1093, 1201, 1204, 1219, 1221, 1229, 1238, 1246, 1300, 1303, 1327, 1420, 1421, 1424, 1425, 1503, 1513, 1572, 1580, 1590, 1619, 1638, 1639, 1766, 1891, 1892, 1920, 1964, 2000, 2092, 2110, 2147, 2167, 2173, 2211, 2318, 2327, 2338, 2362, 2385, 2422, 2474, 2480, 2483, 2494, 2497, 2601, 2629, 2657, 2665, 2667, 2693, 2717, 2790, 2843, 2872, 2947, 2968, 3004, 3017, 3018, 3023, 3028, 3031, 3042, 3044, 3045, 3062, 3076, 3096, 3098, 3101, 3137, 3155, 3164, 3167, 3212, 3227, 3228, 3236, 3246, 3254, 3274, 3284, 3313, 3320, 3340, 3404, 3442, 3490, 3540, 3541, 3590, 3591, 3595, 3623, 3640, 3658, 3659, 3660, 3753, 3776, 3790, 3791, 3815, 3825, 3867, 3903, 3904, 4029, 4063, 4100, 4127, 4154, 4157, 4174, 4240, 4288, 4301, 4323, 4371, 4396, 4397, 4401, 4411, 4425, 4474, 4508, 4586, 4649, 4692, 4709, 4741, 5014, 5029, 5064, 5099, 5100, 5133, 5236, 5300, 5410, 5433, 5480, 5540, 5541, 5543, 5582, 5583, 5610, 5681, 5692, 5717, 5719, 5821, 5822, 5839, 5871, 5906, 5920, 6159, 6186, 6264, 6337, 6344, 7106, 7330, 7341, 7374, 13670, 13696, 13700, 13713, 14311, 15000, 15963, 15979]",29.9703448276,57.3365517241,43.7868965517,24.908,9.01666666667,1.58965517241,6.7724137931,72.6896551724,0.0,0.0,1000.74736842,0.0
54,54,1,3,28,1942,United Kingdom,Lubeck,Germany,53.86547,10.68656,"[52, 172, 184, 185, 294, 327, 335, 368, 591, 592, 596, 648, 650, 660, 661, 662, 691, 699, 703, 704, 705, 760, 769, 848, 850, 891, 1000, 1006, 1052, 1130, 1200, 1266, 1329, 1339, 1341, 1378, 1379, 1380, 1451, 1544, 1605, 1666, 1667, 1694, 1736, 1803, 1890, 1972, 1973, 1975, 1979, 1981, 1986, 1987, 1990, 1993, 2005, 2014, 2039, 2048, 2078, 2120, 2122, 2206, 2289, 2297, 2303, 2306, 2374, 2396, 2429, 2437, 2464, 2564, 2565, 2578, 2609, 2689, 2770, 2794, 2796, 2821, 2906, 2907, 2912, 2950, 2951, 2961, 3085, 3086, 3088, 3093, 3103, 3126, 3170, 3196, 3222, 3227, 3317, 3532, 3537, 3612, 3818, 3897, 3955, 4038, 4039, 4156, 4271, 4275, 4320, 4364, 4367, 4371, 4373, 4391, 4442, 4466, 4468, 4484, 4489, 4593, 4625, 4629, 4642, 4651, 4656, 4745, 4841, 4857, 4896, 4977, 5009, 5014, 5024, 5078, 5146, 5158, 5165, 5252, 5267, 5280, 5349, 5431, 5516, 5546, 5624, 5629, 5642, 5643, 5675, 5676, 5715, 5761, 5821, 5822, 5832, 5930, 6093, 6105, 6163, 6197, 6265, 6266, 6273, 7099, 7298, 7367, 7427, 7432, 13675, 13776, 13777, 15526]",30.02,43.31,35.14,27.176,10.825,1.5,4.70588235294,67.8823529412,0.0,0.0,1015.82307692,0.0
55,55,1,4,8,1942,United Kingdom,Hamburg,Germany,53.55108,9.993682,"[44, 52, 102, 106, 172, 185, 207, 294, 326, 327, 335, 342, 368, 445, 588, 591, 592, 596, 614, 642, 643, 648, 656, 657, 660, 661, 662, 691, 699, 701, 702, 703, 704, 705, 722, 760, 769, 848, 850, 863, 865, 891, 963, 1000, 1006, 1053, 1130, 1172, 1200, 1204, 1246, 1266, 1329, 1339, 1341, 1378, 1379, 1380, 1451, 1488, 1544, 1617, 1666, 1667, 1736, 1873, 1891, 1892, 1929, 1972, 1973, 1975, 1979, 1981, 1986, 1987, 1990, 1993, 2005, 2014, 2039, 2044, 2048, 2053, 2078, 2120, 2122, 2147, 2174, 2206, 2297, 2303, 2306, 2323, 2324, 2374, 2396, 2429, 2437, 2464, 2564, 2565, 2578, 2609, 2689, 2703, 2770, 2821, 2889, 2906, 2907, 2912, 2950, 2951, 2961, 3028, 3031, 3032, 3085, 3086, 3088, 3093, 3103, 3126, 3160, 3170, 3196, 3222, 3226, 3227, 3236, 3317, 3348, 3532, 3537, 3612, 3639, 3744, 3790, 3791, 3815, 3818, 3897, 3955, 4032, 4038, 4039, 4063, 4156, 4275, 4288, 4320, 4347, 4364, 4367, 4371, 4373, 4391, 4393, 4401, 4442, 4445, 4466, 4468, 4484, 4489, 4571, 4593, 4625, 4629, 4642, 4651, 4656, 4745, 4841, 4857, 4878, 4896, 4939, 4977, 5014, 5067, 5078, 5146, 5158, 5165, 5236, 5252, 5267, 5279, 5280, 5431, 5490, 5514, 5516, 5533, 5575, 5624, 5675, 5676, 5715, 5732, 5821, 5822, 5832, 5930, 6093, 6105, 6157, 6163, 6184, 6197, 6266, 6273, 7099, 7106, 7298, 7367, 7427, 7432, 13675, 13776, 13777, 13903, 15526, 16085]",41.5925,53.165,45.4475,39.82,4.22307692308,5.68333333333,8.35217391304,80.0,1.925,1.0,996.382352941,0.0
56,56,0,4,17,1942,United Kingdom,Augsburg,Germany,48.37054,10.89779,"[61, 70, 71, 72, 125, 132, 142, 151, 154, 175, 176, 177, 191, 202, 217, 221, 231, 232, 273, 282, 283, 284, 320, 321, 330, 365, 474, 502, 508, 576, 578, 594, 606, 634, 652, 685, 727, 755, 771, 807, 851, 856, 867, 881, 931, 970, 982, 983, 1093, 1102, 1103, 1107, 1146, 1154, 1161, 1197, 1207, 1243, 1254, 1262, 1276, 1279, 1280, 1287, 1292, 1332, 1357, 1372, 1392, 1403, 1473, 1490, 1515, 1522, 1550, 1586, 1587, 1593, 1621, 1689, 1721, 1844, 1849, 1863, 1875, 1886, 1902, 2000, 2023, 2074, 2088, 2095, 2221, 2223, 2250, 2260, 2261, 2268, 2290, 2319, 2344, 2360, 2406, 2409, 2410, 2417, 2423, 2480, 2485, 2488, 2521, 2542, 2543, 2559, 2575, 2597, 2600, 2680, 2691, 2700, 2708, 2712, 2713, 2738, 2750, 2761, 2773, 2775, 2780, 2783, 2814, 2829, 2830, 2831, 2879, 2886, 2905, 2920, 2923, 2949, 3016, 3056, 3135, 3139, 3147, 3223, 3244, 3245, 3257, 3265, 3268, 3278, 3284, 3287, 3291, 3300, 3307, 3319, 3366, 3379, 3382, 3383, 3385, 3388, 3390, 3402, 3425, 3484, 3485, 3486, 3518, 3519, 3565, 3571, 3578, 3603, 3605, 3621, 3666, 3667, 3668, 3671, 3679, 3722, 3727, 3730, 3734, 3735, 3739, 3751, 3752, 3761, 3856, 3857, 3875, 3922, 3927, 3974, 3975, 4005, 4018, 4053, 4066, 4091, 4094, 4104, 4125, 4160, 4166, 4189, 4261, 4278, 4280, 4287, 4293, 4294, 4318, 4330, 4349, 4377, 4411, 4429, 4433, 4438, 4471, 4480, 4548, 4559, 4576, 4581, 4582, 4584, 4592, 4597, 4621, 4664, 4702, 4703, 4704, 4705, 4729, 4775, 4818, 4881, 4887, 4911, 4926, 4927, 4928, 4931, 4933, 4987, 4996, 5032, 5046, 5063, 5074, 5075, 5105, 5107, 5111, 5120, 5138, 5149, 5155, 5174, 5185, 5284, 5317, 5369, 5397, 5398, 5403, 5404, 5429, 5434, 5435, 5440, 5467, 5488, 5498, 5538, 5609, 5654, 5665, 5703, 5705, 5707, 5792, 5885, 5890, 5898, 5904, 5941, 5971, 6158, 6182, 6196, 6219, 6258, 6259, 6260, 6262, 6275, 6304, 6312, 6336, 6346, 6347, 7075, 7105, 7135, 7187, 7319, 7325, 7331, 7350, 7369, 7370, 7394, 7395, 7403, 7412, 7431, 13674, 13710, 15444, 15555, 15926, 15965]",35.7425,59.525,47.96,31.91,8.03333333333,3.75833333333,6.78636363636,62.6363636364,0.0916666666667,0.0,931.8,1.04166666667
57,57,1,4,23,1942,Germany,Norwich,Germany,52.63089,12.97355,"[116, 129, 131, 164, 167, 184, 198, 207, 288, 298, 303, 314, 379, 395, 399, 400, 402, 403, 405, 407, 408, 410, 416, 417, 420, 422, 424, 425, 427, 429, 430, 432, 433, 434, 435, 445, 524, 526, 550, 596, 650, 833, 853, 876, 879, 880, 888, 948, 965, 991, 1000, 1001, 1003, 1006, 1047, 1048, 1050, 1051, 1052, 1074, 1106, 1182, 1341, 1345, 1410, 1426, 1441, 1488, 1544, 1552, 1583, 1605, 1612, 1617, 1684, 1694, 1709, 1757, 1758, 1759, 1761, 1803, 1869, 1890, 1957, 1960, 2044, 2120, 2166, 2201, 2225, 2252, 2289, 2302, 2315, 2354, 2436, 2444, 2451, 2475, 2506, 2578, 2621, 2627, 2641, 2701, 2704, 2794, 2796, 2856, 2878, 2928, 2931, 2932, 2951, 2963, 2985, 3015, 3082, 3083, 3093, 3126, 3158, 3160, 3166, 3170, 3196, 3226, 3234, 3289, 3376, 3426, 3478, 3509, 3552, 3577, 3788, 3811, 3818, 3821, 3915, 3987, 3988, 4024, 4032, 4036, 4079, 4271, 4332, 4373, 4593, 4605, 4606, 4625, 4642, 4782, 4939, 4977, 4997, 5009, 5024, 5068, 5088, 5097, 5109, 5142, 5158, 5267, 5282, 5349, 5419, 5424, 5431, 5442, 5445, 5463, 5516, 5546, 5624, 5629, 5642, 5643, 5663, 5728, 5745, 5750, 5761, 5778, 5779, 5797, 5825, 5832, 6086, 6095, 6109, 6110, 6112, 6129, 6170, 6199, 6265, 6273, 6310, 6314, 7244, 7321, 7351, 7364, 7389, 7393, 7419, 7420, 13711, 14138]",35.6,61.66625,50.3811764706,32.2475,10.875,1.86875,7.37333333333,63.8125,0.0,0.0,997.130769231,0.0
58,58,1,4,24,1942,United Kingdom,Rostock,Germany,54.09244,12.09915,"[52, 129, 164, 167, 183, 184, 288, 298, 335, 395, 399, 400, 402, 403, 405, 407, 408, 410, 416, 417, 420, 422, 424, 425, 427, 429, 430, 432, 433, 434, 435, 591, 596, 650, 660, 661, 662, 1000, 1006, 1052, 1106, 1329, 1339, 1341, 1345, 1544, 1605, 1694, 1736, 1757, 1758, 1759, 1803, 1869, 1890, 1972, 1979, 1986, 1990, 2005, 2120, 2201, 2289, 2306, 2564, 2578, 2609, 2621, 2770, 2794, 2796, 2950, 2951, 2961, 3085, 3086, 3088, 3093, 3103, 3126, 3170, 3196, 3317, 3478, 3509, 3532, 3552, 3577, 3818, 3897, 3955, 3987, 3988, 4024, 4271, 4320, 4373, 4484, 4625, 4642, 4656, 4977, 5009, 5024, 5078, 5088, 5097, 5109, 5142, 5146, 5158, 5165, 5280, 5349, 5431, 5516, 5546, 5624, 5642, 5643, 5663, 5675, 5676, 5728, 5745, 5778, 5825, 5832, 6086, 6093, 6110, 6112, 6163, 6199, 6265, 6273, 6310, 7244, 7351, 7389, 7432, 13777]",37.84,54.5,44.48,35.312,11.2166666667,2.83333333333,6.6375,66.875,0.0,0.0,1016.0,0.0
59,59,1,5,30,1942,United Kingdom,Cologne,Germany,50.93753,6.960279,"[3, 44, 78, 98, 150, 161, 174, 186, 211, 326, 342, 348, 355, 377, 386, 390, 450, 458, 460, 480, 535, 553, 554, 555, 598, 599, 601, 603, 617, 645, 710, 717, 727, 736, 743, 766, 793, 817, 829, 865, 917, 918, 919, 920, 927, 953, 963, 964, 979, 1032, 1072, 1073, 1078, 1079, 1084, 1087, 1093, 1201, 1229, 1238, 1246, 1254, 1255, 1300, 1303, 1327, 1420, 1421, 1424, 1425, 1428, 1513, 1572, 1580, 1590, 1619, 1638, 1639, 1766, 1891, 1892, 1920, 1964, 2000, 2080, 2081, 2083, 2092, 2110, 2147, 2167, 2173, 2211, 2318, 2331, 2338, 2362, 2385, 2422, 2474, 2483, 2486, 2494, 2497, 2522, 2601, 2629, 2654, 2657, 2665, 2667, 2693, 2717, 2790, 2843, 2872, 2947, 2968, 3004, 3007, 3017, 3018, 3023, 3028, 3031, 3042, 3044, 3045, 3062, 3076, 3096, 3098, 3101, 3137, 3155, 3164, 3167, 3212, 3228, 3236, 3246, 3254, 3274, 3313, 3320, 3340, 3362, 3404, 3442, 3490, 3540, 3541, 3545, 3575, 3576, 3590, 3591, 3595, 3623, 3640, 3658, 3659, 3660, 3753, 3776, 3815, 3825, 3903, 3904, 3929, 3939, 4029, 4063, 4100, 4127, 4154, 4157, 4174, 4177, 4240, 4288, 4301, 4323, 4336, 4339, 4343, 4371, 4396, 4397, 4401, 4425, 4474, 4490, 4508, 4586, 4649, 4692, 4709, 4719, 4741, 5029, 5064, 5099, 5100, 5133, 5236, 5244, 5245, 5275, 5300, 5410, 5426, 5433, 5480, 5540, 5541, 5543, 5582, 5583, 5610, 5681, 5692, 5717, 5719, 5821, 5822, 5871, 5906, 5920, 6186, 6217, 6264, 6337, 6344, 7106, 7330, 7341, 7374, 13670, 13674, 13696, 13700, 13713, 14311, 15000, 15951, 15963, 15979]",47.348,59.66,51.242,45.66,5.35833333333,5.85333333333,10.4566666667,80.9666666667,6.04,1.0,992.952380952,0.0
61,61,1,6,25,1942,United Kingdom,Bremen,Germany,53.0793,8.801694,"[44, 52, 78, 98, 102, 106, 172, 185, 186, 193, 243, 294, 326, 327, 335, 342, 368, 555, 588, 591, 592, 614, 617, 642, 643, 645, 648, 656, 657, 660, 661, 662, 691, 699, 701, 702, 703, 704, 705, 717, 722, 760, 769, 848, 850, 863, 865, 891, 954, 963, 1032, 1053, 1066, 1091, 1130, 1172, 1200, 1204, 1219, 1221, 1246, 1266, 1297, 1299, 1300, 1303, 1329, 1339, 1378, 1379, 1380, 1451, 1503, 1504, 1666, 1667, 1691, 1736, 1766, 1873, 1891, 1892, 1920, 1929, 1972, 1973, 1975, 1979, 1981, 1986, 1987, 1990, 1993, 2005, 2014, 2039, 2048, 2078, 2115, 2122, 2147, 2173, 2174, 2206, 2264, 2297, 2303, 2306, 2323, 2324, 2338, 2374, 2396, 2422, 2429, 2437, 2456, 2464, 2483, 2502, 2532, 2533, 2536, 2564, 2565, 2609, 2689, 2703, 2717, 2770, 2821, 2857, 2861, 2872, 2889, 2906, 2907, 2912, 2925, 2947, 2961, 3023, 3028, 3031, 3032, 3044, 3045, 3085, 3086, 3088, 3096, 3098, 3101, 3103, 3222, 3227, 3228, 3236, 3254, 3317, 3348, 3370, 3404, 3532, 3537, 3612, 3631, 3639, 3640, 3744, 3753, 3790, 3791, 3815, 3867, 3955, 4029, 4038, 4039, 4063, 4100, 4154, 4156, 4174, 4275, 4288, 4320, 4347, 4364, 4367, 4371, 4391, 4393, 4401, 4442, 4445, 4466, 4468, 4484, 4489, 4571, 4629, 4651, 4656, 4741, 4745, 4765, 4841, 4847, 4857, 4896, 5014, 5067, 5133, 5146, 5165, 5236, 5252, 5279, 5280, 5296, 5344, 5347, 5480, 5490, 5514, 5533, 5568, 5575, 5582, 5583, 5610, 5640, 5644, 5675, 5676, 5715, 5717, 5719, 5732, 5821, 5822, 5839, 5912, 5930, 6093, 6105, 6157, 6159, 6163, 6184, 6197, 6264, 6305, 6337, 7099, 7106, 7298, 7330, 7367, 7374, 7427, 7432, 13675, 13696, 13700, 13713, 13776, 13903, 15207, 15526, 16085]",49.615,63.525,52.58,50.0857142857,3.07777777778,6.87777777778,10.2611111111,75.6666666667,0.0694444444444,1.0,1004.616,0.0
