,Success,Month,Day,Year,Country,DefCity,DefCountry,Latitude,Longitude,Details
42,1,6,22,1941,Germany,Minsk,Belarus,53.90454,27.56152,"In the opening phase of Operation Barbarossa, the Luftwaffe achieved air superiority by destroying some 2,000 Soviet aircraft, at a loss of only 35 aircraft (of which 15 were non-combat-related)."
43,1,8,8,1941,Soviet Union,Berlin,Germany,52.52001,13.40495,The Red Army Air Force began a limited bombing offensive with a raid on Berlin.
44,1,8,15,1941,United Kingdom,Amstredam,Netherlands,52.36798,4.903561," Robert Stanford Tuck led the first air mission by fighters based in eastern England against enemy-occupied territories in a ""Rhubarb"" sweep of the Netherlands for ground targets by two Hawker Hurricanes .5–219"
45,1,8,18:,1941,United Kingdom,St Omer,France,50.75012,2.252208,A 18 Squadron Blenheim dropped an artificial leg over France for captured Wing Commander Douglas Bader.
46,1,9,7,1941,United Kingdom,Berlin ,Germany,52.52001,13.40495,"The heaviest RAF raid on Berlin to date, with 197 bombers, with 15 bombers lost."
47,0,11,7,1941,United Kingdom,Berlin ,Germany,52.52001,13.40495,"A large raid on Berlin lost 20 bombers and caused little damage. The head of Bomber Command, Richard Peirse, was subsequently replaced in February 1942 by Arthur Harris."
48,1,12,7,1941,United Kingdom,Aachen,Germany,50.77535,6.083887, 251 bombers target Aachen and Brest—the Brest attack was the first operational use of the Oboe navigation system
49,1,12,18,1941,United Kingdom,Soesterberg,Netherlands,52.12109,5.285347,"Blenheim aircraft conducted the first night intruder attack, successfully striking Soesterberg airfield in the Netherlands with bombs and attacking two German bombers in the air with guns"
50,1,2,16,1942,United Kingdom,Aberdeen,Scotland,57.14972,-2.09428,The first regular operations with the American Boston bomber were conducted.
51,1,3,8,1942,United Kingdom,Essen,Germany,51.45564,7.011555,The first city raid following the February 14 Area bombing directive bombed Essen.
52,1,3,13,1942,United Kingdom,Cologne,Germany,50.93753,6.960279,"Gee radio navigation was first used during a bombing of Cologne.
"
53,0,3,25,1942,United Kingdom,Essen,Germany,51.45564,7.011555,"In the largest force (254 aircraft) sent to a single target to date, bombers of an Essen mission were drawn off by decoy fire from Rheinberg"
54,1,3,28,1942,United Kingdom,Lubeck,Germany,53.86547,10.68656,The Bombing of Lübeck in World War II was the 1st major success for RAF Bomber Command against a German city.
55,1,4,8,1942,United Kingdom,Hamburg,Germany,53.55108,9.993682,The largest force to date (272 aircraft) bomb Hamburg
56,0,4,17,1942,United Kingdom,Augsburg,Germany,48.37054,10.89779,The Augsburg Raid is the first to attempt low-level daylight bombing for accuracy - in this case against the factory producing engines for U-boats. Half of the 12 bombers were shot down for little damage caused.
57,1,4,23,1942,Germany,Norwich,Germany,52.63089,12.97355,"The first period of the Baedeker Blitz bomb the provincial cities of Exeter, Bath, Norwich, and York."
58,1,4,24,1942,United Kingdom,Rostock,Germany,54.09244,12.09915,"Bombing of Rostock.
"
59,1,5,30,1942,United Kingdom,Cologne,Germany,50.93753,6.960279,"The first use of the bomber stream and the first British large scale operation, as part of Operation Millennium the first ""Thousand Bomber"" raid is sent against Cologne, Germany. Of the 1,047 aircraft sent, nearly 900 bombed the target area - the whole raid passing over in 90 minutes."
60,1,6,11–,1942,United States,Ploiesti,Russia,44.93666,26.01286,"First American daylight raid over European soil, against petroleum wells, in Ploiești Romania amongst objectives in Bulgaria the first stages of American Bombing offensive "
61,1,6,25,1942,United Kingdom,Bremen,Germany,53.0793,8.801694,"The third ""Thousand bomber"" raid bombs Bremen, a new record of RAF Bomber Command losses (48 of 1,067 aircraft)"
62,0,7,4,1942,United States,Alkmaar,Netherlands,52.63238,4.753375,"The first American bombing mission over enemy-occupied territory in Europe used 20 Boston bombers (plus 6 RAF-crewed Bostons) to attack the Alkmaar, Hammsted, and Valkenburg airfields -- 6 only two reached the target area (two shot down, the others heavily damaged)1"
63,0,8,14,1942,Germany,Reykjavik,Iceland,64.14658,-21.9426,"First German warplane downed by the USAAF. A German Fw 200 Condor reconnaissance-bomber is shot down by two US fighter pilots, flying a P-40 Warhawk and a P-38 Lightning, off the coast of Reykjavík, Iceland. All six German airmen are killed as the plane explodes and goes into the sea."
64,1,8,15,1942,United States,La Senia ,Algeria,35.64061,-0.64885,"82nd Airborne is the first US airborne division.  (the first combat jumps were 8 November 1942 by the 509th Parachute Battalion in the North Africa Operation Torch).6,107"
65,1,8,17,1942,United States,Rouen,France,49.44323,1.099971," 12 B-17s of the 97 BG (including one with Eaker aboard) escorted by RAF Spitfires bombed the Sotteville railyard 3 miles (4.8 km) South of Rouen, France, in the ""first combat action"" of the Eighth Air Force and the first B-17 bombing of Europe."
66,1,8,19,1942,United States,Abeville,France,50.10547,1.836833,22 B-17's drop 34 tons of bombs on Abbeville/Drucat A/F in France causing extensive damage.
67,1,8,20,1942,United States,Amiens,France,49.89407,2.295753,"11 of 12 B-17's bomb Amiens/Longeau Marshilling Yard, France at 1801 hours without loss."
68,0,8,21,1942,United States,Rotterdam,Netherlands,51.92442,4.477733,"12 B-17's are dispatched to bomb the shipards in Rotterdam, Netherlands but is aborted due to an attack by Bf 109s and Fw 190s; 1 bomber is damaged; Lack of proper coordination with the Spitfire escorts is a major factor in the failure of the mission."
69,1,8,24,1942,United States,Dunkirk,France,51.03437,2.376776,12 B-17s bomb the shipyard of Ateliers et chantier
70,1,9,2,1942,United Kingdom,Karlsruhe,Germany,49.00689,8.403653,"The first use of the 8,000 lb (3,600 kg) High Capacity bomb (Blockbuster bomb) was against Karlsruhe.41"
71,1,10,9,1942,United States,Lille ,France,50.62925,3.057256,"First Eighth Air Force B-24 Bombing raid, bombed Industrial Plants at Lille, France."
72,1,10,24,1942,United Kingdom,Milan,Italy,45.4642,9.189982,88 aircraft use independent routes over France to rendezvous at Lake Annecy for a daylight raid on Milan
73,0,12,12,1942,United States,Sotteville-lès-Rouen,France,Unknown,Unknown, B-17 303d Bombardment Group#Wulf Hound surrendered to the Luftwaffe and was assigned to Kampfgeschwader 200 in September 1943.
74,0,12,22,1942,United Kingdom,Frankfurt,Germany,50.11092,8.682127,An unsuccessful Bombing of Frankfurt am Main in World War II was the first use of the Master Bomber tactic.[citation needed]
75,1,1,27,1943,United States,Wilhelmshaven,Germany,53.53234,8.106872, The first World War II US mission flown against the German homeland bombs Wilhelmshaven.7
76,1,3,5,1943,United Kingdom,Essen,Germany,51.45564,7.011555,"The first raid of the Battle of the Ruhr flew RAF Bomber Command's 100,000th sortie of World War II, with 160 acres destroyed and 53 Krupps buildings bombed at Essen."
77,1,4,13,1943,United States,Bremen,Germany,53.0793,8.801694,The Eighth Air Force's largest mission to date (115 B-17s) destroys half of the Focke-Wulf factory buildings in Bremen
78,0,4,16,1943,United Kingdom,Plzen,Czech Republic,49.73843,13.37364,"A force of 327 Lancasters and Halifaxes set out to destroy the Skoda arms factory at Plzeň, in German occupied Czechoslovakia. 271 aircraft raided Mannheim as a diversion the same night. The force mistook the mental hospital near Dobřany to be the factory at Plzeň. The raid sustained the heaviest losses until that point in the air war.
"
79,1,5,5,1943,United States,Paris,France,48.85661,2.352222,P-47s are first used for escorting bombers.
80,1,5,17,1943,United Kingdom,Dortmund ,Germany,51.51359,7.465298,Operation Chastise bouncing bombs breached the Möhne and Eder Dams
81,1,6,11,1943,United Kingdom,Munster,Germany,51.96066,7.626135, The first two Operation Pointblank raids included a successful mass trial of H2S radar on Münster
82,1,6,13,1943,Germany,Bremen,Germany,53.0793,8.801694, The heaviest fighter attacks to date against the Eighth Air Force claim 26 B-17s bombing Bremen & Kiel U-boat facilities.
83,0,6,26,1943,United States,Regensburg,Germany,49.01343,12.10162, A 100 BG B-17 surrendered and then escaped.
84,1,6,20,1943,United Kingdom,Friedrichshafen,Germany,47.66176,9.480011,Operation Bellicose targets Würzburg radar production and is the first bombing of a V-2 rocket facility.
85,1,7,19,1943,United States,Rome,Germany,52.51579,13.39408,"The first Allied World War II bombing of Rome drops 800 tons of bombs on Littoro and Clampino airports, causing immense damage and 2000 deaths0"
86,1,7,24,1943,United States,Hamburg,Germany,53.55108,9.993682,"After the US developed an airborne radar immune to Window, the first use of the countermeasure (40 tonnes—92 million strips) were dropped during a Hamburg bombing mission.5"
87,1,7,29,1943,Germany,Unknown,Unknown,Unknown,Unknown,"First use of unguided air-to-air rockets against American combat box formations of heavy bombers by JG 1 Oesau and JG 11, attacking with Bf 109Gs and Fw 190As each armed with pairs of Werfer-Granate 21 rocket ordnance, developed from the 21 cm Nebelwerfer 42 ground barrage rocket system."
88,0,8,1,1943,United States,Ploiesti,Romania,44.93666,26.01286,Flying from North Africa Operation Tidal Wave bombs the oil refineries at Ploiești. A large number of the bombers are lost for little strategic benefit. Five Medals of Honor are awarded to American aircrew.
89,1,8,13,1943,United States,Vienna,Austria,48.20817,16.37382, The first Ninth Air Force raid on Austria bombed the Wiener Neustadt Bf 109 factory
90,1,8,17,1943,United States,Haamstede,Netherlands,51.69791,3.737933,The double-strike USAAF Schweinfurt-Regensburg mission was the third shuttle bombing. British aircraft operate diversionary attacks.
91,1,8,17,1943,United Kingdom,Greifswald,Germany,54.08655,13.39234,The Operation Hydra bombing of V-2 facilities at Peenemünde began Operation Crossbow.
92,1,8,18,1943,Germany,Hamburg,Germany,53.55108,9.993682, The counterattack against Operation Hydra included the first operational use of Schräge Musik by German fighters
93,1,8,25,1943,Germany,La Rochelle ,France,46.16033,-1.15114,"The first use of a guided anti-ship missile in wartime occurs over the Bay of Biscay, as the Royal Navy's HMS Bideford and HMS Landguard are damaged by Luftwaffe-deployed Henschel Hs 293 rocket-boosted, MCLOS-guidance glide bombs."
94,1,8,27,1943,United Kingdom,Eperlecques,France,50.80531,2.153443," The first mission against a ""Heavy"" Crossbow site bombed the Watten V-2 rocket bunker"
95,1,9,9,1943,Germany,Marsellie,France,43.29648,5.36978,"The Luftwaffe's KG 100 bomber wing is involved with the world's first successful use of a precision-guided munition in modern military history, through their sinking of the Italian battleship Roma, using the Fritz X armored gravity-propulsion PGM munition."
96,0,10,10,1943,United States,Munster,Germany,51.96066,7.626135," As a result of the June ""surrender/escape"" of a 100 BG B-17, out of the 13 B-17s of 100 BG attacking a railyard in Münster, only the B-17F of Robert Rosenthal survives to return safely to RAF Thorpe Abbotts in England."
97,0,10,14,1943,United States,Schweinfurt,Germany,50.0492,10.21942, The Second Raid on Schweinfurt (Black Thursday) resulted in 122 damaged bombers and 650 MIA/KIA.
98,1,11,1,1943,United States,Berlin,Germany,52.52001,13.40495,A Combined Bomber Offensive progress report estimates that 19/19/9 German towns & cities have been virtually destroyed/severely damaged/more effectively damaged – another report claims 10% of German war potential had been destroyed
99,1,11,2,1943,United States,Zadar,Italy,44.11618,15.22591,"The USAAF 12th Air Force conducted the first large Allied aerial attack against Zadar, Italy"
100,1,11,2,1943,United Kingdom,Vienna,Austria,48.20817,16.37382,A raid targeting the Wiener Neustadt Messerschmitt plant damaged the nearby Raxwerke V-2 rocket facility.
101,1,11,3,1943,United States,Wilhelmshaven,Germany,53.53234,8.106872,"A Wilhelmshaven raid is the first Eighth Air Force blind-bombing mission to completely destroy the aiming point, the Eighth's first 500-plane mission, and the first use by the US of H2X radar"
102,1,11,18,1943,United Kingdom,Berlin,Germany,52.52001,13.40495,"The ""Battle of Berlin"" aerial campaign bombing began"
103,1,11,22,1943,United Kingdom,Berlin,Germany,52.52001,13.40495,The largest force sent to bomb Berlin to date (764 aircraft) conducted the most effective World War II raid on Berlin
104,1,12,2,1943,Germany,Bari,Italy,41.11714,16.87187,"100 Ju-88s bombed the port of Bari, hitting a secret store of US mustard gas (83 of the sailors died within a month).  Autopsies indicated excess white blood cells, and the discovery led to the use of the gas to combat leukemia (the secret regarding the storage at Bari of mustard gas was subsequently declassified in 1959).9"
105,1,12,5,1943,United States,Ligescourt,France,50.28969,1.876912,"B-26s of the Ninth Air Force  attacked three V-1 ski sites near Ligescourt, the first No-Ball missions."
106,0,1,21,1944,Germany,London,England,51.50735,-0.12776,"The unsuccessful Operation Steinbock, the first mass bombing of London, began the Baby Blitz"
107,1,1,30,1944,United States,Trenoq,Italy,46.07478,11.12175, The first U.S. Intruder operation was conducted by P-47s and accurately preceded the bombers to strike fighters at Villaorba airfield.
108,1,2,6,1944,Soviet Union,Helsinki,Finland,60.16986,24.93838,"During the Continuation War, between Soviet Union and Finlandseveral Finnish cities were bombed. The greatest air raids once again targeted Helsinki. In this manner the USSR hoped to force Finland to break its ties with Germany and agree to a peace settlement."
109,0,2,19,1944,United Kingdom,Leipzig,Germany,51.3397,12.37307,Handley Page Halifax IIs and Vs were permanently withdrawn from operations to Germany after 14.9% of those that did not turn back were lost on a raid to Leipzig.
110,1,2,20,1944,United States,Schweinfurt,Germany,50.0492,10.21942,The Argument plan was executed during Big Week and included 734 aircraft that had flown in the October 1943 Second Raid on Schweinfurt
111,1,3,6,1944,United States,Berlin,Germany,52.52001,13.40495,The first large scale US attack on Berlin (some 600 bombers) dropped 1600 tons of bombs - 160-170 of 800-900 fighters are shot down3
112,0,3,1,1944,United Kingdom,Berlin,Germany,52.52001,13.40495," As Seversky predicted in 1942, Bomber Command's 16 area bombardment raids of the Battle of Berlin (air) are unsuccessful at ""substantially"" reducing population and morale"
113,1,4,24,1944,United States,Bucharest,Romania,44.42677,26.10254,"The APS-15 ""Mickey"" radar was first used on a Ploiești mission."
114,1,6,2,1944,United Kingdom,Debrecen,Hungary,47.5316,21.62731,"The first US shuttle bombing mission, Operation Frantic Joe, bombed Debrecen( German fighters subsequently attack the bombers on Soviet airfields at Focşani)"
115,1,6,2,1944,United States,Arras ,France,50.291,2.777535,"In preparation for Operation Overlord, Operation Cover bombed transportation and airfield targets in Northern France and ""coastal defenses, mainly located in the Pas de Calais coastal area, to deceive the enemy as to the sector to be invaded""."
116,1,6,8,1944,United States,Melun,France,48.54211,2.6554,The first use of the Azon guided bomb targeted the Melun bridge
117,1,6,8,1944,United Kingdom,Saumur,France,47.26014,-0.08089,The first use of Tallboy bombs pierced the roof of the Saumur railway tunnel and blocked the expected movement of a German Panzer Division
118,1,6,12,1944,Germany,Swanscombe,England,51.44523,0.303182,0418 hrs: The Robot Blitz began with a V-1 flying bomb striking Swanscombe
119,0,6,14,1944,United Kingdom,Unknown,Unknown,Unknown,Unknown, The first V-1 was shot down by a fighter
120,1,7,3,1944,Germany,London,England,51.50735,-0.12776,74 US military personnel died in (the most for one London event) when a V-1 flying bomb struck Sloane Court East / Turks Row.
121,1,7,7,1944,Germany,London,England,51.50735,-0.12776,"1] The first of 638 modified V-1 flying bombs that reached Britain (of about 1,200) were air-launched from Heinkel He 111s (403 were downed)"
122,1,7,23,1944,United Kingdom,Kiel,Germany,54.32329,10.12277,The first major raid (629 aircraft) on a German city for two months bombs Kiel
123,1,7,25,1944,United States,Normandy,France,48.87987,0.171253,"Mission 494 (1581/500 bombers/fighters) supporting Operation Cobra was the most effective saturation bombing/carpet bombing/area bombardment of the Normandy Campaign, killing US General McNair."
124,1,7,26,1944,Germany,Berlin,Germany,52.52001,13.40495,The first aerial victory for a jet fighter in air combat history occurs as a Messerschmitt Me 262A-1a of Erprobungskommando 262 mortally damages a de Havilland Mosquito reconnaissance aircraft of No. 540 Squadron RAF.
125,1,7,28,1944,Germany,Merseburg,Germany,51.35633,11.99175,The first operational use of rocket-powered point-defense interceptors occurs as Me 163Bs of I. Gruppe/JG 400 take off from Brandis to defend against a USAAF strategic bombing raid on the Merseburg/Leuna synthetic fuel production complex.
126,1,8,27,1944,United Kingdom,Hamburg,Germany,53.55108,9.993682,The RAF restarted daylight bombing of Germany (first since 12 August 1941) with an attack on the Homberg Fischer-Tropsch plant in Hamburg.9
127,1,8,13,1944,United States,Le Harve,France,49.49437,0.107929,Le Havre (Mission 549) and La Pallice (Mission 559) were the targets for the first uses of the BAT guided bomb[citation needed]
128,1,9,8,1944,Germany,Paris ,France,48.85661,2.352222,Operation Penguin began with the first V-2 rocket launches against Paris and London
129,1,9,17,1944,United States,London,England,51.50735,-0.12776, The last UK-USSR-Italy-UK shuttle bombing was completed as 72 B-17s and 59 P-51s flew from Italy without bombs to the UK; 70 B-17s 57 P-51s land safely in the UK.
130,1,9,18,1944,Soviet Union,Warsaw,Poland,52.22968,21.01223,Stalin finally gives permission for Allied planes to use Soviet airfields. The planes conducted air drops during the Warsaw Uprising and Operation Frantic.
131,0,1,1,1945,Germany,Vosges,France,47.99901,6.981869,"Operation Bodenplatte supported the last major German offensive, Operation Nordwind, with inconclusive results."
132,1,1,5,1945,United States,Linz,Austria,48.30694,14.28583,The first mission of Operation Cornflakes begins when a mail train to Linz was bombed. Fake mailbags containing anti-Nazi propaganda were then dropped on the wreckage in the hope the letters would be unwittingly delivered by the Reichspost. The OSS dropped two million Das Neue Deutschland (German: The New Germany) propaganda newspapers during this psychological warfare operation; which ended in February.4
133,1,2,3,1945,United States,Berlin,Germany,52.52001,13.40495,The USAAF conducts its largest raid of the war against Berlin. The attack is led by Major Robert Rosenthal of the 100th Bombardment Group (Heavy). Judge-President of the People's Court Roland Freisler is killed in the bombing.
134,1,2,13,1945,United Kingdom,Dresden,Germany,51.05041,13.73726,The controversial Bombing of Dresden in World War II firestorm consumes the city.
135,1,3,12,1945,United Kingdom,Dortmund,Germany,51.51359,7.465298,A Dortmund raid of 1108 aircraft was the heaviest World War II raid on a European city.
136,1,3,14,1945,United Kingdom,Bielefeld ,Germany,52.03023,8.532471,The first of 41 Grand Slam bombs used in the war is dropped on the Bielefeld viaduct
137,1,2,1,1945,United Kingdom,Heildeshime,Germany,52.15478,9.957965,"To open Operation Veritable/Grenade, Operation Clarion began attacks on 200 targets with 20,000 bombers and escort fighters.59"
138,1,3,17,1945,Germany,Remagen,Germany,50.57328,7.238553,V-2 rockets were fired at the Ludendorff Bridge at Remagen
139,1,3,18,1945,Germany,Berlin,Germany,52.52001,13.40495,"Against Mission 894 attacking Berlin (1,329 bombers and 733 fighters), the Luftwaffe makes its most concentrated and successful attacks to date with Me 262s."
140,1,3,22,1945,United States,Oppenheim,Germany,49.85192,8.360274," 200 Piper L-4 Grasshoppers each carried one armed infantryman (instead of an observer) across the Rhine to establish a US 3rd Army bridgehead near Oppenheim.68 (light aviation became a major part of the Army Field Artillery fire detection center on June 4, 1942)4"
141,1,4,10,1945,Germany,Glasgow,Scotland,55.86424,-4.25181,"An Arado Ar 234, based in Nazi-occupied Denmark, conducts an unmolested reconnaissance mission over northern Scotland. It is the final Luftwaffe operation over the British Isles."
142,1,4,25,1945,United States,Pilsen,Czech Republic,49.73843,13.37364,"The last Eighth Air Force full-scale mission in the ETO hit the Škoda Works at Pilsen in Czechoslovakia (B-17s), while B-24s bombed rail complexes surrounding Hitler's Berchtesgaden."
143,1,5,2,1945,United Kingdom,Kiel,Germany,54.32329,10.12277,"A RAF mosquito from 608 squadron in Norfolk conducts the last British bombing raid of the war over Nazi Germany. It dropped a 4,000lb bomb on the naval port at Kiel."
144,1,5,3,1945,United Kingdom,Lubeck,Germany,53.86547,10.68656,"Typhoons of 83 Group from the 2nd Tactical Air Force attack the passenger liners Cap Arcona, Thielbek, Athen, and Deutschland moored in the Bay of Lübeck (Baltic Sea). Hundreds of concentration camp prisoners are killed on the sinking ships because intelligence they are on board is not passed on to the flight crews."
145,1,5,7,1945,United States,Berlin,Germany,52.52001,13.40495,The final European dogfight of World War II between an L-4 Grasshopper (using .45 caliber pistols) and a German Fieseler Fi 156 Storch forced the German aircrew to land and surrender.
