,Month,Day,Year,Country,Success,Details,City under attack,Country,Latitude,Longitude
10,11,30,1939,Soviet Union,1,"The Winter War between Soviet Union and Finland starts. Three hours after Soviet forces had crossed the border and started the Winter War, Helsinki is bombed.  Throughout the war, the Soviet Union has the air superiority and several cities in Finland are targeted.",Helsinki,Finland,60.16986,24.93838
11,12,18,1939,Germany,1,"The first use of radar for defence (an ""experimental Freya radar"") gave warning of RAF bombers near the German Bight as they made an attack on Wilhelmshaven. However the German fighters were not permitted to intercept until visual confirmation was made - the bombers were attacked after they had dropped their bombs.",Wilhelmshaven,Germany,53.53234,8.106872
12,4,21,1940,Germany,1,A bombing raid on Norway kills the first American military officer killed in World War II.,Dombas ,Norway,62.07577,9.127964
13,5,13,1940,Germany,1,Luftflotte 3 (supported by Luftflotte 2) in the Battle of France executed the heaviest air bombardment to date (300 sorties)--the most intense by World War II Luftwaffe.,Paris,France,48.85661,2.352222
14,5,14,1940,Germany,1,"Under cover of Adolf Galland's air wing and after dummy paratroopers were airdropped (imitating battle noises after landing), Fort Eben-Emael was taken by glider troops in Belgium.",Maastricht ,Germany ,50.84911,5.690303
15,5,14,1940,Germany,1,The Rotterdam Blitz ended the Battle of the Netherlands,Rotterdam,Netherlands,51.92442,4.477733
16,5,15,1940,United Kingdom,1,"A kill shared by French pilot Rene Mouchotte and Englishman Jack Charles becomes the 1,000th victim of Biggin Hill fighters--Vickers threw a ""fabulous party""",,,#N/A,#N/A
17,5,15,1940,United Kingdom,0,"The RAF lost the 100th of its France-based bombers. In 72 hours, it had lost half of its offensive force.",,,#N/A,#N/A
18,5,15/16,1940,United Kingdom,1,"In the 1st large-scale World War II strategic bombing and the 1st attack on the German ""backcountry"", just 24 of 96 dispatched bombers found the Ruhr Area power stations and refineries.",Ruhr,Germany,51.37315,7.629154
19,5,19,1940,France,1,French fighters strafed advanced columns of Operation Abendsegen,Berlin,Germany,52.52001,13.40495
20,5,,1940,Germany,1,"Heinkels bombarded the Dunkirk perimeter followed by Stukas and Dorniers:  opposition included the ""first major encounter""  by Spitfires of No. 74 Squadron RAF.",Dunkirk ,France,51.03437,2.376776
21,5,27/28,1940,United Kingdom,1,A No. 10 Squadron RAF Whitley tail gunner was the first in the RAF to down a German fighter.,,,#N/A,#N/A
22,6,2,1940,United Kingdom,1," Robert Stanford Tuck led a wing of Spitfires from RAF Martlesham Heath, the first ""big formation"" of the war, against 8 Heinkel IIIs and about 25 Messerschmitt Bf 109s over the Calais area.8",Calais,France,50.95129,1.858686
23,6,3,1940,Germany,1,"Operation Paula was Nazi Germany's ""single attempt at strategic air warfare during the French campaign.""",Paris,France,48.85661,2.352222
24,6,7‚Äì8,1940,France,1,French Air Force raid is the first against Berlin.[citation needed],Berlin,Germany,52.52001,13.40495
25,6,9,1940,Germany,1,Germany attains air supremacy in the Battle of France,Paris,France,48.85661,2.352222
26,6,12-Nov,1940,United Kingdom,1,First British bombing of Italy with a raid on Turin.[specify],Turin,Italy,45.07034,7.686864
27,6,26,1940,United Kingdom,0,The RAF Advanced Air Striking Force disbanded after beginning operations in France in May,,,#N/A,#N/A
28,7,24,1940,Germany,1,Ferrying of Luftwaffe aircraft to the Channel Coast ended the first phase of the Battle of Britain,Lisieux ,France,49.14592,0.227849
29,8,9,1940,Germany,1,The Birmingham Blitz began and (along with Hull Blitz) became the basis for the RAF dehousing bombing policy in 1942.,Birmingham,England,52.48624,-1.8904
30,8,25,1940,United Kingdom,1,First RAF raid on Berlin,Berlin,Germany,52.52001,13.40495
31,9,7,1940,Germany,1,The Blitz bombing of Britain began with 57 nights of air raids,London,England,51.50735,-0.12776
32,9,8,1940,United Kingdom,0,"Three Dornier 17 bombers are downed by a single shot from a ""Territorial gun crew"" near Farnington.9",Farmingtin,England,51.83611,-1.80497
33,9,9,1940,Italy,1,A bombing raid on Tel Aviv caused 137 deaths.,Tel Aviv,Isreal,32.0853,34.78177
34,10,19,1940,Italy,1,"Four SM.82 bombers attacked American-operated oil refineries in the British Protectorate of Bahrain, damaging the local refineries. The raid also struck Dhahran in Saudi Arabia, but causing little damage.",Manana,Baharain,26.22852,50.58605
35,9,15,1940,Germany,0,"In a single day, the Luftwaffe loses 60 aircraft over England during the Battle of Britain",London,England,51.50735,-0.12776
36,11,30,1940,Germany,1,The second phase of The Blitz began against British industrial and port cities,Birmingham,England,52.48624,-1.8904
37,1,21,1941,Germany,1,"As revenge for the British raids on Berlin, Germany started the Baby Blitz (planned since November 27).6",Berlin,Germany,52.52001,13.40495
38,2,10,1941,United Kingdom,1,"Operation Colossus, the first British paratrooper raid, blew up an Italian aqueduct.[specify]",Rome,Italy,41.90278,12.49637
39,3,31/April,1941,United Kingdom,1,"A bombing raid on Emden is the first use of the 4,000¬†lb (1,800¬†kg) HC ""cookie"" blockbuster bomb",Emden,Germany,53.3594,7.20601
40,4,15,1941,Germany,1,"The Belfast Blitz kills 1000, the greatest loss of British lives outside London from a night raid.",London,England,51.50735,-0.12776
41,5,10,1941,Germany,1,"The longest blitz air raid on london killing 2324 people and 11,000 houses.",London,England,51.50735,-0.12776
42,6,22,1941,Germany,1,"In the opening phase of Operation Barbarossa, the Luftwaffe achieved air superiority by destroying some 2,000 Soviet aircraft, at a loss of only 35 aircraft (of which 15 were non-combat-related).",Minsk,Belarus,53.90454,27.56152
43,8,8‚Äì9,1941,Soviet Union,1,The Red Army Air Force began a limited bombing offensive with a raid on Berlin.,Berlin,Germany,52.52001,13.40495
44,8,C.,1941,United Kingdom,1," Robert Stanford Tuck led the first air mission by fighters based in eastern England against enemy-occupied territories in a ""Rhubarb"" sweep of the Netherlands for ground targets by two Hawker Hurricanes .5‚Äì219",Amstredam,Netherlands,52.36798,4.903561
45,8,18:00,1941,United Kingdom,1,A 18 Squadron Blenheim dropped an artificial leg over France for captured Wing Commander Douglas Bader.,St Omer,France,50.75012,2.252208
46,9,7/8:,1941,United Kingdom,1,"The heaviest RAF raid on Berlin to date, with 197 bombers, with 15 bombers lost.",Berlin ,Germany,52.52001,13.40495
47,11,7,1941,United Kingdom,0,"A large raid on Berlin lost 20 bombers and caused little damage. The head of Bomber Command, Richard Peirse, was subsequently replaced in February 1942 by Arthur Harris.",Berlin ,Germany,52.52001,13.40495
48,12,7/8:,1941,United Kingdom,1, 251 bombers target Aachen and Brest‚Äîthe Brest attack was the first operational use of the Oboe navigation system,Aachen,Germany,50.77535,6.083887
49,12,18:00,1941,United Kingdom,1,"Blenheim aircraft conducted the first night intruder attack, successfully striking Soesterberg airfield in the Netherlands with bombs and attacking two German bombers in the air with guns",Soesterberg,Netherlands,52.12109,5.285347
50,2,16:00,1942,United Kingdom,1,The first regular operations with the American Boston bomber were conducted.,Aberdeen,Scotland,57.14972,-2.09428
51,3,9-Aug,1942,United Kingdom,1,The first city raid following the February 14 Area bombing directive bombed Essen.,Essen,Germany,51.45564,7.011555
52,3,13/14,1942,United Kingdom,1,"Gee radio navigation was first used during a bombing of Cologne.
",Cologne,Germany,50.93753,6.960279
53,3,25/26,1942,United Kingdom,0,"In the largest force (254 aircraft) sent to a single target to date, bombers of an Essen mission were drawn off by decoy fire from Rheinberg[specify]",Essen,Germany,51.45564,7.011555
54,3,28/29,1942,United Kingdom,1,The Bombing of L√ºbeck in World War II was the 1st major success for RAF Bomber Command against a German city.,Lubeck,Germany,53.86547,10.68656
55,4,9-Aug,1942,United Kingdom,1,The largest force to date (272 aircraft) bomb Hamburg,Hamburg,Germany,53.55108,9.993682
56,4,17,1942,United Kingdom,0,The Augsburg Raid is the first to attempt low-level daylight bombing for accuracy - in this case against the factory producing engines for U-boats. Half of the 12 bombers were shot down for little damage caused.,Augsburg,Germany,48.37054,10.89779
57,4,23‚Äì29,1942,Germany,1,"The first period of the Baedeker Blitz bomb the provincial cities of Exeter, Bath, Norwich, and York.",Norwich,Germany,52.63089,1.297355
58,4,23‚Äì27,1942,United Kingdom,1,"Bombing of Rostock.
",Rostock,Germany,54.09244,12.09915
59,5,30,1942,United Kingdom,1,"The first use of the bomber stream and the first British large scale operation, as part of Operation Millennium the first ""Thousand Bomber"" raid is sent against Cologne, Germany. Of the 1,047 aircraft sent, nearly 900 bombed the target area - the whole raid passing over in 90 minutes.",Cologne,Germany,50.93753,6.960279
60,6,11‚Äì12,1942,United States,1,"First American daylight raid over European soil, against petroleum wells, in Ploie»ôti Romania amongst objectives in Bulgaria the first stages of American Bombing offensive ",Ploiesti,Russia,44.93666,26.01286
61,6,25/26,1942,United Kingdom,1,"The third ""Thousand bomber"" raid bombs Bremen, a new record of RAF Bomber Command losses (48 of 1,067 aircraft)",Bremen,Germany,53.0793,8.801694
62,7,4,1942,United States,0,"The first American bombing mission over enemy-occupied territory in Europe used 20 Boston bombers (plus 6 RAF-crewed Bostons) to attack the Alkmaar, Hammsted, and Valkenburg airfields -- 6 only two reached the target area (two shot down, the others heavily damaged)1",Alkmaar,Netherlands,52.63238,4.753375
63,8,14,1942,Germany,0,"First German warplane downed by the USAAF. A German Fw 200 Condor reconnaissance-bomber is shot down by two US fighter pilots, flying a P-40 Warhawk and a P-38 Lightning, off the coast of Reykjav√≠k, Iceland. All six German airmen are killed as the plane explodes and goes into the sea.",Reykjavik,Iceland,64.14658,-21.9426
64,8,15,1942,United States,1,"82nd Airborne is the first US airborne division.  (the first combat jumps were 8 November 1942 by the 509th Parachute Battalion in the North Africa Operation Torch).6,107",La Senia ,Algeria,35.64061,-0.64885
65,8,17,1942,United States,1," 12 B-17s of the 97 BG (including one with Eaker aboard) escorted by RAF Spitfires bombed the Sotteville railyard 3 miles (4.8¬†km) South of Rouen, France, in the ""first combat action"" of the Eighth Air Force and the first B-17 bombing of Europe.",Rouen,France,49.44323,1.099971
66,8,19,1942,United States,1,22 B-17's drop 34 tons of bombs on Abbeville/Drucat A/F in France causing extensive damage.,Abeville,France,50.10547,1.836833
67,8,20,1942,United States,1,"11 of 12 B-17's bomb Amiens/Longeau Marshilling Yard, France at 1801 hours without loss.",Amiens,France,49.89407,2.295753
68,8,21,1942,United States,0,"12 B-17's are dispatched to bomb the shipards in Rotterdam, Netherlands but is aborted due to an attack by Bf 109s and Fw 190s; 1 bomber is damaged; Lack of proper coordination with the Spitfire escorts is a major factor in the failure of the mission.",Rotterdam,Netherlands,51.92442,4.477733
69,8,24,1942,United States,1,12 B-17s bomb the shipyard of Ateliers et chantier,Dunkirk,France,51.03437,2.376776
70,9,3-Feb,1942,United Kingdom,1,"specify] The first use of the 8,000¬†lb (3,600¬†kg) High Capacity bomb (Blockbuster bomb) was against Karlsruhe.41",Karlsruhe,Germany,49.00689,8.403653
71,10,9,1942,United States,1,"First Eighth Air Force B-24 Bombing raid, bombed Industrial Plants at Lille, France.",Lille ,France,50.62925,3.057256
72,10,24,1942,United Kingdom,1,88 aircraft use independent routes over France to rendezvous at Lake Annecy for a daylight raid on Milan,Milan,Italy,45.4642,9.189982
73,12,12,1942,United States,0, B-17 303d Bombardment Group#Wulf Hound surrendered to the Luftwaffe and was assigned to Kampfgeschwader 200 in September 1943.,Sotteville-lès-Rouen,France,#N/A,#N/A
74,12,22,1942,United Kingdom,0,An unsuccessful Bombing of Frankfurt am Main in World War II was the first use of the Master Bomber tactic.[citation needed],Frankfurt,Germany,50.11092,8.682127
75,1,27,1943,United States,1, The first World War II US mission flown against the German homeland bombs Wilhelmshaven.7,Wilhelmshaven,Germany,53.53234,8.106872
76,3,6-May,1943,United Kingdom,1,"The first raid of the Battle of the Ruhr flew RAF Bomber Command's 100,000th sortie of World War II, with 160 acres destroyed and 53 Krupps buildings bombed at Essen.",Essen,Germany,51.45564,7.011555
77,4,13,1943,United States,1,The Eighth Air Force's largest mission to date (115 B-17s) destroys half of the Focke-Wulf factory buildings in Bremen,Bremen,Germany,53.0793,8.801694
78,4,16/17,1943,United Kingdom,0,"A force of 327 Lancasters and Halifaxes set out to destroy the Skoda arms factory at Plze≈à, in German occupied Czechoslovakia. 271 aircraft raided Mannheim as a diversion the same night. The force mistook the mental hospital near Dob≈ôany to be the factory at Plze≈à. The raid sustained the heaviest losses until that point in the air war.
",Plzen,Czech Republic,49.73843,13.37364
79,5,5,1943,United States,1,P-47s are first used for escorting bombers.,Paris,France,48.85661,2.352222
80,5,17,1943,United Kingdom,1,Operation Chastise bouncing bombs breached the M√∂hne and Eder Dams,Dortmund ,Germany,51.51359,7.465298
81,6,12-Nov,1943,United Kingdom,1, The first two Operation Pointblank raids included a successful mass trial of H2S radar on M√ºnster,Munster,Germany,51.96066,7.626135
82,6,13,1943,Germany,1, The heaviest fighter attacks to date against the Eighth Air Force claim 26 B-17s bombing Bremen & Kiel U-boat facilities.,Bremen,Germany,53.0793,8.801694
83,6,26,1943,United States,0, A 100 BG B-17 surrendered and then escaped.,Regensburg,Germany,49.01343,12.10162
84,6,20/21,1943,United Kingdom,1,Operation Bellicose targets W√ºrzburg radar production and is the first bombing of a V-2 rocket facility.,Friedrichshafen,Germany,47.66176,9.480011
85,7,19,1943,United States,1,"The first Allied World War II bombing of Rome drops 800 tons of bombs on Littoro and Clampino airports, causing immense damage and 2000 deaths0",Rome,Germany,52.51579,13.39408
86,7,24,1943,United States,1,"After the US developed an airborne radar immune to Window, the first use of the countermeasure (40 tonnes‚Äî92 million strips) were dropped during a Hamburg bombing mission.5",Hamburg,Germany,53.55108,9.993682
87,7,29,1943,Germany,1,"First use of unguided air-to-air rockets against American combat box formations of heavy bombers by JG 1 Oesau and JG 11, attacking with Bf 109Gs and Fw 190As each armed with pairs of Werfer-Granate 21 rocket ordnance, developed from the 21 cm Nebelwerfer 42 ground barrage rocket system.",,,#N/A,#N/A
88,8,1,1943,United States,0,Flying from North Africa Operation Tidal Wave bombs the oil refineries at Ploie»ôti. A large number of the bombers are lost for little strategic benefit. Five Medals of Honor are awarded to American aircrew.,Ploiesti,Romania,44.93666,26.01286
89,8,13,1943,United States,1, The first Ninth Air Force raid on Austria bombed the Wiener Neustadt Bf 109 factory,Vienna,Austria,48.20817,16.37382
90,8,17,1943,United States,1,The double-strike USAAF Schweinfurt-Regensburg mission was the third shuttle bombing. British aircraft operate diversionary attacks.,Haamstede,Netherlands,51.69791,3.737933
91,8,17/18,1943,United Kingdom,1,The Operation Hydra bombing of V-2 facilities at Peenem√ºnde began Operation Crossbow.,Greifswald,Germany,54.08655,13.39234
92,8,18,1943,Germany,1, The counterattack against Operation Hydra included the first operational use of Schr√§ge Musik by German fighters,Hamburg,Germany,53.55108,9.993682
93,8,25,1943,Germany,1,"The first use of a guided anti-ship missile in wartime occurs over the Bay of Biscay, as the Royal Navy's HMS Bideford and HMS Landguard are damaged by Luftwaffe-deployed Henschel Hs 293 rocket-boosted, MCLOS-guidance glide bombs.",La Rochelle ,France,46.16033,-1.15114
94,8,27,1943,United Kingdom,1," The first mission against a ""Heavy"" Crossbow site bombed the Watten V-2 rocket bunker",Eperlecques,France,50.80531,2.153443
95,9,9,1943,Germany,1,"The Luftwaffe's KG 100 bomber wing is involved with the world's first successful use of a precision-guided munition in modern military history, through their sinking of the Italian battleship Roma, using the Fritz X armored gravity-propulsion PGM munition.",Marsellie,France,43.29648,5.36978
96,10,10,1943,United States,0," As a result of the June ""surrender/escape"" of a 100 BG B-17, out of the 13 B-17s of 100 BG attacking a railyard in M√ºnster, only the B-17F of Robert Rosenthal survives to return safely to RAF Thorpe Abbotts in England.",Munster,Germany,51.96066,7.626135
97,10,14,1943,United States,0, The Second Raid on Schweinfurt (Black Thursday) resulted in 122 damaged bombers and 650 MIA/KIA.,Schweinfurt,Germany,50.0492,10.21942
98,11,1,1943,United States,1,A Combined Bomber Offensive progress report estimates that 19/19/9 German towns & cities have been virtually destroyed/severely damaged/more effectively damaged¬†‚Äì another report claims 10% of German war potential had been destroyed,Berlin,Germany,52.52001,13.40495
99,11,2,1943,United States,1,"The USAAF 12th Air Force conducted the first large Allied aerial attack against Zadar, Italy",Zadar,Italy,44.11618,15.22591
100,11,2,1943,United Kingdom,1,A raid targeting the Wiener Neustadt Messerschmitt plant damaged the nearby Raxwerke V-2 rocket facility.,Vienna,Austria,48.20817,16.37382
101,11,3,1943,United States,1,"A Wilhelmshaven raid is the first Eighth Air Force blind-bombing mission to completely destroy the aiming point, the Eighth's first 500-plane mission, and the first use by the US of H2X radar",Wilhelmshaven,Germany,53.53234,8.106872
102,11,18/19,1943,United Kingdom,1,"The ""Battle of Berlin"" aerial campaign bombing began",Berlin,Germany,52.52001,13.40495
103,11,22/23,1943,United Kingdom,1,The largest force sent to bomb Berlin to date (764 aircraft) conducted the most effective World War II raid on Berlin,Berlin,Germany,52.52001,13.40495
104,12,2,1943,Germany,1,"100 Ju-88s bombed the port of Bari, hitting a secret store of US mustard gas (83 of the sailors died within a month).  Autopsies indicated excess white blood cells, and the discovery led to the use of the gas to combat leukemia (the secret regarding the storage at Bari of mustard gas was subsequently declassified in 1959).9",Bari,Italy,41.11714,16.87187
105,12,5,1943,United States,1,"B-26s of the Ninth Air Force  attacked three V-1 ski sites near Ligescourt, the first No-Ball missions.",Ligescourt,France,50.28969,1.876912
106,1,21,1944,Germany,0,"The unsuccessful Operation Steinbock, the first mass bombing of London, began the Baby Blitz",London,England,51.50735,-0.12776
107,1,30,1944,United States,1, The first U.S. Intruder operation was conducted by P-47s and accurately preceded the bombers to strike fighters at Villaorba airfield.,Trenoq,Italy,46.07478,11.12175
108,2,6‚Äì27,1944,Soviet Union,1,"During the Continuation War, between Soviet Union and Finlandseveral Finnish cities were bombed. The greatest air raids once again targeted Helsinki. In this manner the USSR hoped to force Finland to break its ties with Germany and agree to a peace settlement.",Helsinki,Finland,60.16986,24.93838
109,2,19/20,1944,United Kingdom,0,Handley Page Halifax IIs and Vs were permanently withdrawn from operations to Germany after 14.9% of those that did not turn back were lost on a raid to Leipzig.,Leipzig,Germany,51.3397,12.37307
110,2,20‚Äì25,1944,United States,1,The Argument plan was executed during Big Week and included 734 aircraft that had flown in the October 1943 Second Raid on Schweinfurt,Schweinfurt,Germany,50.0492,10.21942
111,3,6,1944,United States,1,The first large scale US attack on Berlin (some 600 bombers) dropped 1600 tons of bombs - 160-170 of 800-900 fighters are shot down3,Berlin,Germany,52.52001,13.40495
112,3,31-Jan,1944,United Kingdom,0," As Seversky predicted in 1942, Bomber Command's 16 area bombardment raids of the Battle of Berlin (air) are unsuccessful at ""substantially"" reducing population and morale",Berlin,Germany,52.52001,13.40495
113,4,24,1944,United States,1,"The APS-15 ""Mickey"" radar was first used on a Ploie»ôti mission.",Bucharest,Romania,44.42677,26.10254
114,6,2,1944,United Kingdom,1,"The first US shuttle bombing mission, Operation Frantic Joe, bombed Debrecen( German fighters subsequently attack the bombers on Soviet airfields at Foc≈üani)",Debrecen,Hungary,47.5316,21.62731
115,6,2‚Äì5,1944,United States,1,"In preparation for Operation Overlord, Operation Cover bombed transportation and airfield targets in Northern France and ""coastal defenses, mainly located in the Pas de Calais coastal area, to deceive the enemy as to the sector to be invaded"".",Arras ,France,50.291,2.777535
116,6,8,1944,United States,1,The first use of the Azon guided bomb targeted the Melun bridge,Melun,France,48.54211,2.6554
117,6,9-Aug,1944,United Kingdom,1,The first use of Tallboy bombs pierced the roof of the Saumur railway tunnel and blocked the expected movement of a German Panzer Division,Saumur,France,47.26014,-0.08089
118,6,12,1944,Germany,1,0418 hrs: The Robot Blitz began with a V-1 flying bomb striking Swanscombe,Swanscombe,England,51.44523,0.303182
119,6,14/15,1944,United Kingdom,0, The first V-1 was shot down by a fighter,,,#N/A,#N/A
120,7,3,1944,Germany,1,74 US military personnel died in (the most for one London event) when a V-1 flying bomb struck Sloane Court East / Turks Row.,London,England,51.50735,-0.12776
121,7,7,1944,Germany,1,"1] The first of 638 modified V-1 flying bombs that reached Britain (of about 1,200) were air-launched from Heinkel He 111s (403 were downed)",London,England,51.50735,-0.12776
122,7,23/24,1944,United Kingdom,1,The first major raid (629 aircraft) on a German city for two months bombs Kiel,Kiel,Germany,54.32329,10.12277
123,7,25,1944,United States,1,"Mission 494 (1581/500 bombers/fighters) supporting Operation Cobra was the most effective saturation bombing/carpet bombing/area bombardment of the Normandy Campaign, killing US General McNair.",Normandy,France,48.87987,0.171253
124,7,26,1944,Germany,1,The first aerial victory for a jet fighter in air combat history occurs as a Messerschmitt Me 262A-1a of Erprobungskommando 262 mortally damages a de Havilland Mosquito reconnaissance aircraft of No. 540 Squadron RAF.,Berlin,Germany,52.52001,13.40495
125,7,28,1944,Germany,1,The first operational use of rocket-powered point-defense interceptors occurs as Me 163Bs of I. Gruppe/JG 400 take off from Brandis to defend against a USAAF strategic bombing raid on the Merseburg/Leuna synthetic fuel production complex.,Merseburg,Germany,51.35633,11.99175
126,8,27,1944,United Kingdom,1,The RAF restarted daylight bombing of Germany (first since 12 August 1941) with an attack on the Homberg Fischer-Tropsch plant in Hamburg.9,Hamburg,Germany,53.55108,9.993682
127,8,13,1944,United States,1,Le Havre (Mission 549) and La Pallice (Mission 559) were the targets for the first uses of the BAT guided bomb[citation needed],Le Harve,France,49.49437,0.107929
128,9,8,1944,Germany,1,Operation Penguin began with the first V-2 rocket launches against Paris and London,Paris ,France,48.85661,2.352222
129,9,17,1944,United States,1, The last UK-USSR-Italy-UK shuttle bombing was completed as 72 B-17s and 59 P-51s flew from Italy without bombs to the UK; 70 B-17s 57 P-51s land safely in the UK.,London,England,51.50735,-0.12776
130,9,18,1944,Soviet Union,1,Stalin finally gives permission for Allied planes to use Soviet airfields. The planes conducted air drops during the Warsaw Uprising and Operation Frantic.,Warsaw,Poland,52.22968,21.01223
131,1,1,1945,Germany,0,"Operation Bodenplatte supported the last major German offensive, Operation Nordwind, with inconclusive results.",Vosges,France,47.99901,6.981869
132,1,5,1945,United States,1,The first mission of Operation Cornflakes begins when a mail train to Linz was bombed. Fake mailbags containing anti-Nazi propaganda were then dropped on the wreckage in the hope the letters would be unwittingly delivered by the Reichspost. The OSS dropped two million Das Neue Deutschland (German: The New Germany) propaganda newspapers during this psychological warfare operation; which ended in February.4,Linz,Austria,48.30694,14.28583
133,2,3,1945,United States,1,The USAAF conducts its largest raid of the war against Berlin. The attack is led by Major Robert Rosenthal of the 100th Bombardment Group (Heavy). Judge-President of the People's Court Roland Freisler is killed in the bombing.,Berlin,Germany,52.52001,13.40495
134,2,13‚Äì15,1945,United Kingdom,1,The controversial Bombing of Dresden in World War II firestorm consumes the city.,Dresden,Germany,51.05041,13.73726
135,3,12,1945,United Kingdom,1,A Dortmund raid of 1108 aircraft was the heaviest World War II raid on a European city.,Dortmund,Germany,51.51359,7.465298
136,3,14,1945,United Kingdom,1,The first of 41 Grand Slam bombs used in the war is dropped on the Bielefeld viaduct,Bielefeld ,Germany,52.03023,8.532471
137,2,28-Jan,1945,United Kingdom,1,"To open Operation Veritable/Grenade, Operation Clarion began attacks on 200 targets with 20,000 bombers and escort fighters.59",Heildeshime,Germany,52.15478,9.957965
138,3,17,1945,Germany,1,V-2 rockets were fired at the Ludendorff Bridge at Remagen,Remagen,Germany,50.57328,7.238553
139,3,18,1945,Germany,1,"Against Mission 894 attacking Berlin (1,329 bombers and 733 fighters), the Luftwaffe makes its most concentrated and successful attacks to date with Me 262s.",Berlin,Germany,52.52001,13.40495
140,3,22,1945,United States,1," 200 Piper L-4 Grasshoppers each carried one armed infantryman (instead of an observer) across the Rhine to establish a US 3rd Army bridgehead near Oppenheim.68 (light aviation became a major part of the Army Field Artillery fire detection center on June 4, 1942)4",Oppenheim,Germany,49.85192,8.360274
141,4,10,1945,Germany,1,"An Arado Ar 234, based in Nazi-occupied Denmark, conducts an unmolested reconnaissance mission over northern Scotland. It is the final Luftwaffe operation over the British Isles.",Glasgow,Scotland,55.86424,-4.25181
142,4,25,1945,United States,1,"The last Eighth Air Force full-scale mission in the ETO hit the ≈†koda Works at Pilsen in Czechoslovakia (B-17s), while B-24s bombed rail complexes surrounding Hitler's Berchtesgaden.",Pilsen,Czech Republic,49.73843,13.37364
143,5,2,1945,United Kingdom,1,"A RAF mosquito from 608 squadron in Norfolk conducts the last British bombing raid of the war over Nazi Germany. It dropped a 4,000lb bomb on the naval port at Kiel.",Kiel,Germany,54.32329,10.12277
144,5,3,1945,United Kingdom,1,"Typhoons of 83 Group from the 2nd Tactical Air Force attack the passenger liners Cap Arcona, Thielbek, Athen, and Deutschland moored in the Bay of L√ºbeck (Baltic Sea). Hundreds of concentration camp prisoners are killed on the sinking ships because intelligence they are on board is not passed on to the flight crews.",Lubeck,Germany,53.86547,10.68656
145,5,7,1945,United States,1,The final European dogfight of World War II between an L-4 Grasshopper (using .45 caliber pistols) and a German Fieseler Fi 156 Storch forced the German aircrew to land and surrender.,Berlin,Germany,52.52001,13.40495
